Sample_Id	Site1_Hugo_Symbol	Site2_Hugo_Symbol	Center	Event_Info	DNA_support	RNA_support	Method	Connection_Type	SV_Status	Group
P-7427	ABL1	ABL1	OrigiMed	ABL1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5564	ABL1		OrigiMed	Intergenic-ABL1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4108	ACVR1B	NFRKB	OrigiMed	ACVR1B-NFRKB	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0884	ACVR1B	ACVR1B	OrigiMed	ACVR1B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1487	ACVR2A	ACVR2A	OrigiMed	ACVR2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5523	ACVR2A	ACVR2A	OrigiMed	ACVR2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6079	ACVR2A	ACVR2A	OrigiMed	ACVR2A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3901	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1573	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2363	KIF5B	ALK	OrigiMed	KIF5B-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4498	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1850	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4501	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2455	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-6495	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5879	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1515	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3997	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1515	ALK	MXD1	OrigiMed	ALK-MXD1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1635	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2874	SLC4A1AP	ALK	OrigiMed	SLC4A1AP-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-1539	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3558	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3022	ALK	MTA3	OrigiMed	ALK-MTA3	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0757	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4918	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1390	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1346	TP53I3	ALK	OrigiMed	TP53I3-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-5170	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0476	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2078	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0768	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2360	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2118	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5165	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3305	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2248	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5201	ALK	FBLN7	OrigiMed	ALK-FBLN7	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8257	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3862	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3022	SAP130	ALK	OrigiMed	SAP130-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-5285	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3874	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4310	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0421	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3102	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3623	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4487	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0359	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4410	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3879	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3162	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4258	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0408	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4399	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3835	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0082	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
