Cancer Type,Sentence
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol <= 4.5 AND Protein_position <= 615.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol <= 4.5 AND Protein_position > 615.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 0 AND Diagnosis Age <= 46.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.20000000298023224 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 0 AND Diagnosis Age > 46.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 0 AND Diagnosis Age > 46.5 AND TMB (nonsynonymous) > 0.20000000298023224, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 0 AND Diagnosis Age > 47.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 0 AND chr_10 is 0 AND Diagnosis Age > 71.5 AND Hugo_Symbol <= 266.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 0 AND Hugo_Symbol > 266.0 AND chr_10 is 0 AND Diagnosis Age > 71.5 AND Exon_Number <= 427.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 0 AND Hugo_Symbol > 266.0 AND chr_10 is 0 AND Exon_Number > 427.5 AND Diagnosis Age <= 76.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 0 AND Hugo_Symbol > 266.0 AND chr_10 is 0 AND Diagnosis Age > 76.5 AND Exon_Number > 427.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 0 AND Diagnosis Age > 71.5 AND TMB (nonsynonymous) > 0.11666667088866234, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 1 AND Start_Position <= 25849151.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 1 AND Start_Position > 25849151.0 AND Diagnosis Age <= 74.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 0 AND Hugo_Symbol > 4.5 AND chr_10 is 1 AND Start_Position > 25849151.0 AND Diagnosis Age > 74.5, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position <= 6.5 AND Diagnosis Age <= 68.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position <= 6.5 AND Diagnosis Age > 68.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position <= 399047.5 AND chr_16 is 0, then the class is Non Small Cell Lung Cancer."
